# contact distance = 3
# r = [0.29406, 3.8558]

# i j contact_probability mean_contact_probability stddev_contact_probability
11 2 0.258824 0.333088 0.173223
11 3 0.258824 0.333088 0.173223
11 4 0.282353 0.333088 0.173223
11 5 0.4 0.333088 0.173223
11 6 0.576471 0.333088 0.173223
11 7 0.682353 0.333088 0.173223
11 8 0.741176 0.333088 0.173223
11 9 0.705882 0.333088 0.173223
11 10 0.658824 0.333088 0.173223
11 11 0.670588 0.333088 0.173223
11 12 0.705882 0.333088 0.173223
11 13 0.670588 0.333088 0.173223
11 14 0.494118 0.333088 0.173223
11 15 0.505882 0.333088 0.173223
11 16 0.4 0.333088 0.173223
11 17 0.411765 0.333088 0.173223
11 18 0.376471 0.333088 0.173223
11 19 0.282353 0.333088 0.173223
12 0 0.270588 0.333088 0.173223
12 1 0.247059 0.333088 0.173223
12 2 0.317647 0.333088 0.173223
12 3 0.270588 0.333088 0.173223
12 4 0.376471 0.333088 0.173223
12 5 0.482353 0.333088 0.173223
12 6 0.529412 0.333088 0.173223
12 7 0.611765 0.333088 0.173223
12 8 0.717647 0.333088 0.173223
12 9 0.741176 0.333088 0.173223
12 10 0.635294 0.333088 0.173223
12 11 0.682353 0.333088 0.173223
12 12 0.717647 0.333088 0.173223
12 13 0.647059 0.333088 0.173223
12 14 0.517647 0.333088 0.173223
12 15 0.505882 0.333088 0.173223
12 16 0.447059 0.333088 0.173223
12 17 0.447059 0.333088 0.173223
12 18 0.423529 0.333088 0.173223
12 19 0.282353 0.333088 0.173223
13 0 0.247059 0.333088 0.173223
13 1 0.270588 0.333088 0.173223
13 2 0.294118 0.333088 0.173223
13 3 0.258824 0.333088 0.173223
13 4 0.305882 0.333088 0.173223
13 5 0.341176 0.333088 0.173223
13 6 0.482353 0.333088 0.173223
13 7 0.564706 0.333088 0.173223
13 8 0.623529 0.333088 0.173223
13 9 0.611765 0.333088 0.173223
13 10 0.529412 0.333088 0.173223
13 11 0.564706 0.333088 0.173223
13 12 0.635294 0.333088 0.173223
13 13 0.658824 0.333088 0.173223
13 14 0.552941 0.333088 0.173223
13 15 0.482353 0.333088 0.173223
13 16 0.411765 0.333088 0.173223
13 17 0.423529 0.333088 0.173223
13 18 0.294118 0.333088 0.173223
13 19 0.247059 0.333088 0.173223
14 0 0.2 0.333088 0.173223
14 1 0.2 0.333088 0.173223
14 2 0.211765 0.333088 0.173223
14 3 0.188235 0.333088 0.173223
14 4 0.258824 0.333088 0.173223
14 5 0.270588 0.333088 0.173223
14 6 0.411765 0.333088 0.173223
14 7 0.435294 0.333088 0.173223
14 8 0.494118 0.333088 0.173223
14 9 0.447059 0.333088 0.173223
14 10 0.352941 0.333088 0.173223
14 11 0.4 0.333088 0.173223
14 12 0.529412 0.333088 0.173223
14 13 0.494118 0.333088 0.173223
14 14 0.376471 0.333088 0.173223
14 15 0.352941 0.333088 0.173223
14 16 0.294118 0.333088 0.173223
14 17 0.329412 0.333088 0.173223
14 18 0.235294 0.333088 0.173223
14 19 0.211765 0.333088 0.173223
15 0 0.152941 0.333088 0.173223
15 1 0.129412 0.333088 0.173223
15 2 0.188235 0.333088 0.173223
15 3 0.176471 0.333088 0.173223
15 4 0.211765 0.333088 0.173223
15 5 0.258824 0.333088 0.173223
15 6 0.411765 0.333088 0.173223
15 7 0.447059 0.333088 0.173223
15 8 0.482353 0.333088 0.173223
15 9 0.423529 0.333088 0.173223
15 10 0.4 0.333088 0.173223
15 11 0.4 0.333088 0.173223
15 12 0.482353 0.333088 0.173223
15 13 0.447059 0.333088 0.173223
15 14 0.411765 0.333088 0.173223
15 15 0.364706 0.333088 0.173223
15 16 0.270588 0.333088 0.173223
15 17 0.305882 0.333088 0.173223
15 18 0.270588 0.333088 0.173223
15 19 0.188235 0.333088 0.173223
16 0 0.105882 0.333088 0.173223
16 1 0.105882 0.333088 0.173223
16 2 0.129412 0.333088 0.173223
16 3 0.141176 0.333088 0.173223
16 4 0.211765 0.333088 0.173223
16 5 0.235294 0.333088 0.173223
16 6 0.305882 0.333088 0.173223
16 7 0.364706 0.333088 0.173223
16 8 0.388235 0.333088 0.173223
16 9 0.388235 0.333088 0.173223
16 10 0.329412 0.333088 0.173223
16 11 0.364706 0.333088 0.173223
16 12 0.423529 0.333088 0.173223
16 13 0.364706 0.333088 0.173223
16 14 0.294118 0.333088 0.173223
16 15 0.282353 0.333088 0.173223
16 16 0.270588 0.333088 0.173223
16 17 0.317647 0.333088 0.173223
16 18 0.247059 0.333088 0.173223
16 19 0.164706 0.333088 0.173223
17 0 0.117647 0.333088 0.173223
17 1 0.141176 0.333088 0.173223
17 2 0.141176 0.333088 0.173223
17 3 0.141176 0.333088 0.173223
17 4 0.188235 0.333088 0.173223
17 5 0.235294 0.333088 0.173223
17 6 0.317647 0.333088 0.173223
17 7 0.329412 0.333088 0.173223
17 8 0.329412 0.333088 0.173223
17 9 0.388235 0.333088 0.173223
17 10 0.341176 0.333088 0.173223
17 11 0.329412 0.333088 0.173223
17 12 0.411765 0.333088 0.173223
17 13 0.341176 0.333088 0.173223
17 14 0.258824 0.333088 0.173223
17 15 0.235294 0.333088 0.173223
17 16 0.188235 0.333088 0.173223
17 17 0.247059 0.333088 0.173223
17 18 0.2 0.333088 0.173223
17 19 0.152941 0.333088 0.173223
18 0 0.129412 0.333088 0.173223
18 1 0.0941176 0.333088 0.173223
18 2 0.0941176 0.333088 0.173223
18 3 0.0941176 0.333088 0.173223
18 4 0.129412 0.333088 0.173223
18 5 0.2 0.333088 0.173223
18 6 0.270588 0.333088 0.173223
18 7 0.270588 0.333088 0.173223
18 8 0.294118 0.333088 0.173223
18 9 0.305882 0.333088 0.173223
18 10 0.247059 0.333088 0.173223
18 11 0.270588 0.333088 0.173223
18 12 0.317647 0.333088 0.173223
18 13 0.329412 0.333088 0.173223
18 14 0.211765 0.333088 0.173223
18 15 0.2 0.333088 0.173223
18 16 0.2 0.333088 0.173223
18 17 0.176471 0.333088 0.173223
18 18 0.188235 0.333088 0.173223
18 19 0.129412 0.333088 0.173223
19 0 0.129412 0.333088 0.173223
19 1 0.0941176 0.333088 0.173223
19 2 0.0941176 0.333088 0.173223
19 3 0.0588235 0.333088 0.173223
19 4 0.105882 0.333088 0.173223
19 5 0.152941 0.333088 0.173223
19 6 0.176471 0.333088 0.173223
19 7 0.188235 0.333088 0.173223
19 8 0.270588 0.333088 0.173223
19 9 0.317647 0.333088 0.173223
19 10 0.223529 0.333088 0.173223
19 11 0.235294 0.333088 0.173223
19 12 0.2 0.333088 0.173223
19 13 0.211765 0.333088 0.173223
19 14 0.188235 0.333088 0.173223
19 15 0.164706 0.333088 0.173223
19 16 0.188235 0.333088 0.173223
19 17 0.2 0.333088 0.173223
19 18 0.129412 0.333088 0.173223
19 19 0.105882 0.333088 0.173223
