# contact distance = 3
# r = [1.7052, 4.99384]

# i j contact_probability mean_contact_probability stddev_contact_probability
13 11 0.089172 0.238201 0.0867832
13 12 0.089172 0.238201 0.0867832
13 13 0.133758 0.238201 0.0867832
13 14 0.11465 0.238201 0.0867832
13 15 0.121019 0.238201 0.0867832
13 16 0.203822 0.238201 0.0867832
13 17 0.286624 0.238201 0.0867832
13 18 0.292994 0.238201 0.0867832
13 19 0.292994 0.238201 0.0867832
14 0 0.165605 0.238201 0.0867832
14 1 0.22293 0.238201 0.0867832
14 2 0.22293 0.238201 0.0867832
14 3 0.210191 0.238201 0.0867832
14 4 0.171975 0.238201 0.0867832
14 5 0.191083 0.238201 0.0867832
14 6 0.216561 0.238201 0.0867832
14 7 0.235669 0.238201 0.0867832
14 8 0.184713 0.238201 0.0867832
14 9 0.146497 0.238201 0.0867832
14 10 0.121019 0.238201 0.0867832
14 11 0.0828025 0.238201 0.0867832
14 12 0.0828025 0.238201 0.0867832
14 13 0.101911 0.238201 0.0867832
14 14 0.0764331 0.238201 0.0867832
14 15 0.11465 0.238201 0.0867832
14 16 0.121019 0.238201 0.0867832
14 17 0.210191 0.238201 0.0867832
14 18 0.242038 0.238201 0.0867832
14 19 0.248408 0.238201 0.0867832
15 0 0.184713 0.238201 0.0867832
15 1 0.248408 0.238201 0.0867832
15 2 0.248408 0.238201 0.0867832
15 3 0.261146 0.238201 0.0867832
15 4 0.203822 0.238201 0.0867832
15 5 0.22293 0.238201 0.0867832
15 6 0.216561 0.238201 0.0867832
15 7 0.210191 0.238201 0.0867832
15 8 0.178344 0.238201 0.0867832
15 9 0.165605 0.238201 0.0867832
15 10 0.133758 0.238201 0.0867832
15 11 0.127389 0.238201 0.0867832
15 12 0.0636943 0.238201 0.0867832
15 13 0.089172 0.238201 0.0867832
15 14 0.0700637 0.238201 0.0867832
15 15 0.0955414 0.238201 0.0867832
15 16 0.121019 0.238201 0.0867832
15 17 0.191083 0.238201 0.0867832
15 18 0.273885 0.238201 0.0867832
15 19 0.267516 0.238201 0.0867832
16 0 0.22293 0.238201 0.0867832
16 1 0.318471 0.238201 0.0867832
16 2 0.350318 0.238201 0.0867832
16 3 0.318471 0.238201 0.0867832
16 4 0.286624 0.238201 0.0867832
16 5 0.267516 0.238201 0.0867832
16 6 0.216561 0.238201 0.0867832
16 7 0.280255 0.238201 0.0867832
16 8 0.210191 0.238201 0.0867832
16 9 0.178344 0.238201 0.0867832
16 10 0.171975 0.238201 0.0867832
16 11 0.152866 0.238201 0.0867832
16 12 0.140127 0.238201 0.0867832
16 13 0.152866 0.238201 0.0867832
16 14 0.10828 0.238201 0.0867832
16 15 0.121019 0.238201 0.0867832
16 16 0.184713 0.238201 0.0867832
16 17 0.280255 0.238201 0.0867832
16 18 0.324841 0.238201 0.0867832
16 19 0.350318 0.238201 0.0867832
17 0 0.324841 0.238201 0.0867832
17 1 0.375796 0.238201 0.0867832
17 2 0.414013 0.238201 0.0867832
17 3 0.388535 0.238201 0.0867832
17 4 0.363057 0.238201 0.0867832
17 5 0.343949 0.238201 0.0867832
17 6 0.292994 0.238201 0.0867832
17 7 0.292994 0.238201 0.0867832
17 8 0.261146 0.238201 0.0867832
17 9 0.242038 0.238201 0.0867832
17 10 0.197452 0.238201 0.0867832
17 11 0.197452 0.238201 0.0867832
17 12 0.165605 0.238201 0.0867832
17 13 0.191083 0.238201 0.0867832
17 14 0.197452 0.238201 0.0867832
17 15 0.203822 0.238201 0.0867832
17 16 0.273885 0.238201 0.0867832
17 17 0.407643 0.238201 0.0867832
17 18 0.388535 0.238201 0.0867832
17 19 0.401274 0.238201 0.0867832
18 0 0.305732 0.238201 0.0867832
18 1 0.375796 0.238201 0.0867832
18 2 0.426752 0.238201 0.0867832
18 3 0.420382 0.238201 0.0867832
18 4 0.388535 0.238201 0.0867832
18 5 0.343949 0.238201 0.0867832
18 6 0.343949 0.238201 0.0867832
18 7 0.33121 0.238201 0.0867832
18 8 0.280255 0.238201 0.0867832
18 9 0.312102 0.238201 0.0867832
18 10 0.248408 0.238201 0.0867832
18 11 0.235669 0.238201 0.0867832
18 12 0.210191 0.238201 0.0867832
18 13 0.273885 0.238201 0.0867832
18 14 0.22293 0.238201 0.0867832
18 15 0.273885 0.238201 0.0867832
18 16 0.356688 0.238201 0.0867832
18 17 0.433121 0.238201 0.0867832
18 18 0.43949 0.238201 0.0867832
18 19 0.44586 0.238201 0.0867832
19 0 0.312102 0.238201 0.0867832
19 1 0.382166 0.238201 0.0867832
19 2 0.420382 0.238201 0.0867832
19 3 0.407643 0.238201 0.0867832
19 4 0.388535 0.238201 0.0867832
19 5 0.369427 0.238201 0.0867832
19 6 0.356688 0.238201 0.0867832
19 7 0.324841 0.238201 0.0867832
19 8 0.286624 0.238201 0.0867832
19 9 0.267516 0.238201 0.0867832
19 10 0.261146 0.238201 0.0867832
19 11 0.248408 0.238201 0.0867832
19 12 0.229299 0.238201 0.0867832
19 13 0.267516 0.238201 0.0867832
19 14 0.216561 0.238201 0.0867832
19 15 0.267516 0.238201 0.0867832
19 16 0.343949 0.238201 0.0867832
19 17 0.407643 0.238201 0.0867832
19 18 0.407643 0.238201 0.0867832
19 19 0.426752 0.238201 0.0867832
